JobTitle,CompanyName,Category,Salary,JobType,JobFunction,PositionLevel,WorkingDay,WorkingHour,Location,DetailLocation,WorkingExperience,Qualification,Age
布仓、裁床仓文员(Road#4),FWKK(Cambodia)Limited 港资制衣厂诚聘,Manufacturing / Production,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"Trapeang Tleung Village, 12405 Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
PPC跟单(Road#4),FWKK(Cambodia)Limited 港资制衣厂诚聘,Manufacturing / Production,Negotiable,Full Time,Purchasing/Material Mgmt,Fresh/Entry Level,,,Phnom Penh,"Trapeang Tleung Village, 12405 Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
包装主管助理(Road#4),FWKK(Cambodia)Limited 港资制衣厂诚聘,Clothing / Garment / Textile,Negotiable,Full Time,Logistics/Supply Chain,Fresh/Entry Level,,,Phnom Penh,"Trapeang Tleung Village, 12405 Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
裁床主管助理(永盛路),FWKK(Cambodia)Limited 港资制衣厂诚聘,Manufacturing / Production,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"Trapeang Tleung Village, 12405 Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Category Executive,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Purchasing/Material Mgmt,Junior Executive,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Store Manager (Supermarket),DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Operation/Production,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Store Manager,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Operation/Production,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Analyst Programmer,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Sales / Eng/Tech/IT,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Driver,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,General Work,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Store In-Charge,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Store Manager (Guardian),DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Top Management,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Executive Assistant_COO,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Secretarial,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Payroll Executive,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Accounting,Junior Executive,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
"Executive, Learning &Development",DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Education,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Pharmacist,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Nurse/Medical Support,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Senior Sale Assistant,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Sales,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Admin Coding Controller,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Sale Assistant,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Retail Sales/General,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Internship IT,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Internship/Training,Sales / Eng/Tech/IT,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Internship for PPD,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Internship/Training,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Internship Merchandise,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Internship/Training,Purchasing/Material Mgmt,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Internship HR,DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Internship/Training,Hotel/Tourism,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Cashier (All Lucky Branches),DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,General/Cost Accounting,Fresh/Entry Level,,,Kandal,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",No preference,High School or equivalent,18 - 50
Stock Clerk (All Branches),DFI LUCKY PRIVATE LIMITED,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Phnom Penh,"#1, Street 55P, Sangkat Toek Thla, Khan Sensok, Phnom Penh, Cambodia., Phnom Penh",No preference,High School or equivalent,18 - 50
Senior Human Resource Officer (1post),Angkor Hospital for Children,Health / Medical Care / Pharmaceutical,Negotiable,Full Time,Human Resource,Junior Executive,,,Siem Reap,"Tep Vong Road & Umchhay Street, Svay Dangkum, Siem Reap province-district, PO Box 50, Siem Reap, Kingdom of Cambodia, Siem Reap",2-5 years,Bachelor's Degree,18 - 50
Pharmacy Assistant (2 Posts),Angkor Hospital for Children,Hotel / Resort / Travel,Negotiable,Full Time,Nurse/Medical Support,Junior Executive,,,Siem Reap,"Tep Vong Road & Umchhay Street, Svay Dangkum, Siem Reap province-district, PO Box 50, Siem Reap, Kingdom of Cambodia, Siem Reap",No preference,Bachelor's Degree,18 - 50
Merchandiser,DKSH (Cambodia) Ltd Dumex,Food and Berverage,Negotiable,Full Time,Purchasing/Material Mgmt,Junior Executive,,,Phnom Penh,"The second floor of Regency Complex C2/1-2, Monireth Blvd, S/K Tom Noup Teak,Khan Chamkamon,Phnom Penh (Intercontinental Hotel)., Phnom Penh",2-5 years,Others,18 - 50
Internship,DKSH (Cambodia) Ltd Dumex,Property / Real Estate,Negotiable,Internship/Training,Education,Junior Executive,,,Phnom Penh,"The second floor of Regency Complex C2/1-2, Monireth Blvd, S/K Tom Noup Teak,Khan Chamkamon,Phnom Penh (Intercontinental Hotel)., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sales Admin,DKSH (Cambodia) Ltd Dumex,Property / Real Estate,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"The second floor of Regency Complex C2/1-2, Monireth Blvd, S/K Tom Noup Teak,Khan Chamkamon,Phnom Penh (Intercontinental Hotel)., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Personal Assistant to Country Manager,DKSH (Cambodia) Ltd Dumex,Property / Real Estate,Negotiable,Full Time,Secretarial,Junior Executive,,,Phnom Penh,"The second floor of Regency Complex C2/1-2, Monireth Blvd, S/K Tom Noup Teak,Khan Chamkamon,Phnom Penh (Intercontinental Hotel)., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Product Consultant,DKSH (Cambodia) Ltd Dumex,Food and Berverage,Negotiable,Full Time,Social and Consulting Service,Junior Executive,,,Phnom Penh,"The second floor of Regency Complex C2/1-2, Monireth Blvd, S/K Tom Noup Teak,Khan Chamkamon,Phnom Penh (Intercontinental Hotel)., Phnom Penh",< 2 years,High School or equivalent,18 - 50
Driver 2,LIM HENG GROUP,Manufacturing / Production,Negotiable,Full Time,General Work,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",< 2 years,ចំនេះដឹងចប់ថ្នាក់ទី៩ឡើងទៅ,18 - 50
Driver 2 ( Big Truck ),LIM HENG GROUP,Manufacturing / Production,Negotiable,Full Time,General Work,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Zero(0),18 - 50
Bartender (អ្នកធ្វើភេសជ្ជៈ) ភោជីយដ្ឋាន លី ឡាយ,LIM HENG GROUP,Food and Berverage,Negotiable,Full Time,Food/Beverage/Restaurant,Fresh/Entry Level,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",No preference,Zero(0),18 - 50
Restaurant Supervisor (ភោជនីយដ្ឋាន លី ឡាយ),LIM HENG GROUP,Food and Berverage,Negotiable,Full Time,Food/Beverage/Restaurant,Senior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",No preference,Zero(0),18 - 50
អ្នកសម្អាត​ 5នាក់ Cleaner 5 (Ourresy Market),LIM HENG GROUP,General Business,Negotiable,Full Time,Cook/Cleaner/Maid,Fresh/Entry Level,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",No preference,Zero(0),18 - 50
Cleaner អ្នក​អនាម័យ 1 ( ភោជនីយដ្ឋាន លី ឡាយ),LIM HENG GROUP,Food and Berverage,Negotiable,Full Time,Catering/Restaurant,Fresh/Entry Level,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",No preference,Zero(0),18 - 50
Chef Assistant (ផ្នែកខ្វៃ ភោជីយដ្ឋាន លី ឡាយ),LIM HENG GROUP,Food and Berverage,Negotiable,Full Time,Food/Beverage/Restaurant,Fresh/Entry Level,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",No preference,Others,18 - 50
Stock Controller (ភោជនីយដ្ឋាន លី ឡាយ),LIM HENG GROUP,Food and Berverage,Negotiable,Full Time,Hotel/Tourism,Fresh/Entry Level,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Chef Assistant 02  (ភោជនីយដ្ឋាន លី ឡាយ),LIM HENG GROUP,Construction / Building / Architecture,Negotiable,Full Time,Food/Beverage/Restaurant,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",< 2 years,High School or equivalent,18 - 50
ជាងជួសជុលរថយន្ត,LIM HENG GROUP,Construction / Building / Architecture,Negotiable,Full Time,Maintenance,Fresh/Entry Level,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Zero(0),18 - 50
Security Guard 16 សន្តីសុខ 16នាក់ (ផ្សារអូឬស្សី),LIM HENG GROUP,General Business,Negotiable,Full Time,Security/Armed Forces/Protective Services,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",No preference,Zero(0),18 - 50
Accounting Manager,LIM HENG GROUP,Hotel / Resort / Travel,Negotiable,Full Time,Accounting,Junior Executive,,,Oddor Meanchey,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",5-8 years,Bachelor's Degree,18 - 50
Tax Officer 1,LIM HENG GROUP,General Business,Negotiable,Full Time,Audit and Taxation,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Accounting Supervisor (ភោជនីយដ្ឋាន លី ឡាយ),LIM HENG GROUP,Hotel / Resort / Travel,Negotiable,Full Time,Accounting,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Accounting Supervisor,LIM HENG GROUP,Hotel / Resort / Travel,Negotiable,Full Time,Accounting,Junior Executive,,,Oddor Meanchey,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Accounting Supervisor 1 (Royal Hill at Ouddormeachey),LIM HENG GROUP,Hotel / Resort / Travel,Negotiable,Full Time,Accounting,Junior Executive,,,Oddor Meanchey,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Finance Manager (01 position),LIM HENG GROUP,Hotel / Resort / Travel,Negotiable,Full Time,Finance,Junior Executive,,,Oddor Meanchey,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Order Entry (OE) (Tai Heng Industrial),LIM HENG GROUP,Industrial Products,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Internal Auditor (Phnom Penh) 02,LIM HENG GROUP,Accounting / Audit / Tax Firm,Negotiable,Full Time,Audit and Taxation,Fresh/Entry Level,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Deputy Finance Manager,LIM HENG GROUP,Manufacturing / Production,Negotiable,Full Time,Finance,Junior Executive,,,Oddor Meanchey,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Deputy Accounting Manager 1,LIM HENG GROUP,Manufacturing / Production,Negotiable,Full Time,Accounting,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sale Admin,LIM HENG GROUP,Manufacturing / Production,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sale Account 3,LIM HENG GROUP,Manufacturing / Production,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Marketing Executive 1,LIM HENG GROUP,Manufacturing / Production,Negotiable,Full Time,Marketing/Business Development,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Graphic Designer,LIM HENG GROUP,Construction / Building / Architecture,Negotiable,Full Time,Arts/Creative Design,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Cashier at Orrussey Market (02 positions),LIM HENG GROUP,Hotel / Resort / Travel,Negotiable,Full Time,General/Cost Accounting,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Accountant (Phnom Penh & Ouddormeachey),LIM HENG GROUP,Hotel / Resort / Travel,Negotiable,Full Time,Accounting,Fresh/Entry Level,,,Oddor Meanchey,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Sale (Tai Heng Industrial),LIM HENG GROUP,Industrial Products,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Cashier / Cash Collector 01,LIM HENG GROUP,Manufacturing / Production,Negotiable,Full Time,General/Cost Accounting,Junior Executive,,,Phnom Penh,"#376B/376A,378B, Mao Tse Tung Blvd, Sangkat Boeung Salang, Khan ToulKork, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Associate Degree,18 - 50
Translator (500$ Up ),"Da Chao Shong Co.,Ltd",Manufacturing / Production,Negotiable,Full Time,Clerical/Administrative,Fresh/Entry Level,,,Bavet,"柴桢省、巴域市、大成工业区。, Svay Rieng",< 2 years,Zero(0),18 - 35
Engineer Working in Japan,"Yume Technology Co., Ltd",Engineering,Negotiable,Full Time,Architecture/Engineering,Junior Executive,,,Phnom Penh,"Japan, Phnom Penh",No preference,Bachelor's Degree,18 - 50
"Specialist, Business Development",Manulife(Cambodia) PLC,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Bank/Insurance,Junior Executive,,,Phnom Penh,"104 Russian Federation Blvd | Phnom Penh, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
"Officer, Agency Training",Manulife(Cambodia) PLC,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Bank/Insurance,Junior Executive,,,Preah Sihanouk,"104 Russian Federation Blvd | Phnom Penh, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
"Officer, Agency Training",Manulife(Cambodia) PLC,Banking / Finance / Insurance / Investment,Negotiable,Full Time,Bank/Insurance,Junior Executive,,,Preah Sihanouk,"104 Russian Federation Blvd | Phnom Penh, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
